window,short_perp_threshold,sharpe,calmar,annual_return,mdd
5.0,0.6000000000000001,21.81,82.5,0.33,0.004
35.0,0.4,21.19,106.67,0.32,0.003
40.0,0.4,21.19,106.67,0.32,0.003
45.0,0.4,21.19,106.67,0.32,0.003
40.0,1.8,20.68,106.67,0.32,0.003
40.0,1.6,20.68,106.67,0.32,0.003
30.0,1.8,20.68,106.67,0.32,0.003
30.0,1.6,20.68,106.67,0.32,0.003
30.0,1.4000000000000001,20.68,106.67,0.32,0.003
45.0,1.6,20.68,106.67,0.32,0.003
30.0,1.0,20.68,106.67,0.32,0.003
30.0,0.8,20.68,106.67,0.32,0.003
30.0,0.6000000000000001,20.68,106.67,0.32,0.003
45.0,1.8,20.68,106.67,0.32,0.003
45.0,2.0,20.68,106.67,0.32,0.003
50.0,0.4,20.68,106.67,0.32,0.003
25.0,2.0,20.68,106.67,0.32,0.003
25.0,1.8,20.68,106.67,0.32,0.003
25.0,1.6,20.68,106.67,0.32,0.003
25.0,1.4000000000000001,20.68,106.67,0.32,0.003
25.0,1.2000000000000002,20.68,106.67,0.32,0.003
25.0,1.0,20.68,106.67,0.32,0.003
25.0,0.8,20.68,106.67,0.32,0.003
30.0,2.0,20.68,106.67,0.32,0.003
45.0,1.4000000000000001,20.68,106.67,0.32,0.003
45.0,1.2000000000000002,20.68,106.67,0.32,0.003
45.0,1.0,20.68,106.67,0.32,0.003
40.0,1.4000000000000001,20.68,106.67,0.32,0.003
40.0,1.2000000000000002,20.68,106.67,0.32,0.003
40.0,1.0,20.68,106.67,0.32,0.003
40.0,0.8,20.68,106.67,0.32,0.003
40.0,0.6000000000000001,20.68,106.67,0.32,0.003
40.0,2.0,20.68,106.67,0.32,0.003
45.0,0.8,20.68,106.67,0.32,0.003
35.0,2.0,20.68,106.67,0.32,0.003
25.0,0.6000000000000001,20.68,106.67,0.32,0.003
35.0,1.8,20.68,106.67,0.32,0.003
35.0,1.6,20.68,106.67,0.32,0.003
35.0,1.4000000000000001,20.68,106.67,0.32,0.003
35.0,1.2000000000000002,20.68,106.67,0.32,0.003
35.0,1.0,20.68,106.67,0.32,0.003
35.0,0.8,20.68,106.67,0.32,0.003
35.0,0.6000000000000001,20.68,106.67,0.32,0.003
