window,short_perp_threshold,sharpe,calmar,annual_return,mdd
10.0,0.6000000000000001,25.47,183.33,0.55,0.003
5.0,0.8,25.47,183.33,0.55,0.003
5.0,1.0,25.47,183.33,0.55,0.003
10.0,0.4,25.04,137.5,0.55,0.004
10.0,1.4000000000000001,25.04,180.0,0.54,0.003
10.0,1.2000000000000002,25.04,180.0,0.54,0.003
10.0,1.0,25.04,180.0,0.54,0.003
10.0,0.8,25.04,180.0,0.54,0.003
10.0,1.6,25.04,180.0,0.54,0.003
5.0,1.4000000000000001,25.04,180.0,0.54,0.003
5.0,1.2000000000000002,25.04,180.0,0.54,0.003
5.0,1.6,24.66,176.67,0.53,0.003
10.0,1.8,24.48,176.67,0.53,0.003
10.0,2.0,24.48,176.67,0.53,0.003
20.0,0.4,24.46,176.67,0.53,0.003
25.0,0.4,24.46,176.67,0.53,0.003
15.0,0.6000000000000001,24.46,176.67,0.53,0.003
5.0,0.6000000000000001,24.22,186.67,0.56,0.003
20.0,0.2,24.2,176.67,0.53,0.003
15.0,1.2000000000000002,24.05,173.33,0.52,0.003
20.0,1.0,24.05,173.33,0.52,0.003
15.0,2.0,24.05,173.33,0.52,0.003
20.0,1.2000000000000002,24.05,173.33,0.52,0.003
15.0,1.6,24.05,173.33,0.52,0.003
15.0,1.4000000000000001,24.05,173.33,0.52,0.003
15.0,1.8,24.05,173.33,0.52,0.003
15.0,1.0,24.05,173.33,0.52,0.003
15.0,0.8,24.05,173.33,0.52,0.003
20.0,1.4000000000000001,24.05,173.33,0.52,0.003
20.0,1.6,24.05,173.33,0.52,0.003
20.0,0.8,24.05,173.33,0.52,0.003
20.0,1.8,24.05,173.33,0.52,0.003
20.0,2.0,24.05,173.33,0.52,0.003
20.0,0.6000000000000001,24.05,173.33,0.52,0.003
15.0,0.4,24.04,132.5,0.53,0.004
25.0,0.0,24.02,132.5,0.53,0.004
25.0,0.2,24.01,132.5,0.53,0.004
30.0,0.0,23.94,130.0,0.52,0.004
30.0,0.2,23.92,130.0,0.52,0.004
15.0,0.2,23.7,88.33,0.53,0.006
20.0,0.0,23.68,88.33,0.53,0.006
40.0,0.4,23.61,170.0,0.51,0.003
30.0,0.4,23.61,170.0,0.51,0.003
10.0,0.2,23.51,58.89,0.53,0.009
10.0,0.0,23.51,58.89,0.53,0.009
35.0,0.4,23.32,170.0,0.51,0.003
45.0,0.4,23.31,166.67,0.5,0.003
55.0,0.0,23.31,166.67,0.5,0.003
35.0,0.6000000000000001,23.2,166.67,0.5,0.003
30.0,1.6,23.2,166.67,0.5,0.003
35.0,1.2000000000000002,23.2,166.67,0.5,0.003
35.0,0.8,23.2,166.67,0.5,0.003
35.0,1.0,23.2,166.67,0.5,0.003
30.0,1.0,23.2,166.67,0.5,0.003
35.0,1.4000000000000001,23.2,166.67,0.5,0.003
35.0,1.6,23.2,166.67,0.5,0.003
35.0,1.8,23.2,166.67,0.5,0.003
30.0,1.4000000000000001,23.2,166.67,0.5,0.003
30.0,1.2000000000000002,23.2,166.67,0.5,0.003
25.0,0.6000000000000001,23.2,166.67,0.5,0.003
25.0,1.8,23.2,166.67,0.5,0.003
30.0,0.8,23.2,166.67,0.5,0.003
25.0,0.8,23.2,166.67,0.5,0.003
25.0,1.0,23.2,166.67,0.5,0.003
25.0,1.4000000000000001,23.2,166.67,0.5,0.003
25.0,1.6,23.2,166.67,0.5,0.003
25.0,1.2000000000000002,23.2,166.67,0.5,0.003
30.0,0.6000000000000001,23.2,166.67,0.5,0.003
35.0,0.0,23.14,102.0,0.51,0.005
35.0,0.2,23.12,102.0,0.51,0.005
40.0,0.0,22.93,102.0,0.51,0.005
55.0,0.2,22.92,166.67,0.5,0.003
40.0,0.2,22.92,100.0,0.5,0.005
40.0,1.0,22.91,166.67,0.5,0.003
40.0,1.4000000000000001,22.91,166.67,0.5,0.003
40.0,1.2000000000000002,22.91,166.67,0.5,0.003
40.0,0.6000000000000001,22.91,166.67,0.5,0.003
40.0,0.8,22.91,166.67,0.5,0.003
15.0,0.0,22.89,57.78,0.52,0.009
45.0,0.0,22.85,83.33,0.5,0.006
45.0,0.2,22.83,83.33,0.5,0.006
45.0,0.6000000000000001,22.8,166.67,0.5,0.003
45.0,0.8,22.8,166.67,0.5,0.003
45.0,1.0,22.8,166.67,0.5,0.003
45.0,1.2000000000000002,22.8,166.67,0.5,0.003
5.0,0.0,22.8,63.33,0.57,0.009
5.0,0.2,22.8,63.33,0.57,0.009
5.0,0.4,22.53,61.11,0.55,0.009
45.0,1.6,22.52,163.33,0.49,0.003
50.0,0.4,22.52,163.33,0.49,0.003
45.0,1.4000000000000001,22.52,163.33,0.49,0.003
50.0,0.2,22.48,83.33,0.5,0.006
50.0,0.6000000000000001,22.37,163.33,0.49,0.003
50.0,0.8,22.27,163.33,0.49,0.003
50.0,1.0,22.27,163.33,0.49,0.003
50.0,2.0,22.15,160.0,0.48,0.003
50.0,1.8,22.15,160.0,0.48,0.003
50.0,1.6,22.15,160.0,0.48,0.003
50.0,1.2000000000000002,22.15,160.0,0.48,0.003
25.0,2.0,22.15,160.0,0.48,0.003
55.0,0.4,22.15,160.0,0.48,0.003
55.0,0.6000000000000001,22.15,160.0,0.48,0.003
50.0,1.4000000000000001,22.15,160.0,0.48,0.003
40.0,2.0,22.15,160.0,0.48,0.003
40.0,1.8,22.15,160.0,0.48,0.003
45.0,2.0,22.15,160.0,0.48,0.003
45.0,1.8,22.15,160.0,0.48,0.003
30.0,1.8,22.15,160.0,0.48,0.003
30.0,2.0,22.15,160.0,0.48,0.003
35.0,2.0,22.15,160.0,0.48,0.003
40.0,1.6,22.15,160.0,0.48,0.003
55.0,0.8,21.93,160.0,0.48,0.003
55.0,1.0,21.93,160.0,0.48,0.003
50.0,0.0,21.7,54.44,0.49,0.009
55.0,1.2000000000000002,21.7,156.67,0.47,0.003
55.0,1.4000000000000001,21.08,153.33,0.46,0.003
55.0,1.6,21.08,153.33,0.46,0.003
55.0,1.8,21.08,153.33,0.46,0.003
55.0,2.0,21.08,153.33,0.46,0.003
